ablation,model,folds,mean_net_return,median_net_return,positive_fold_rate,mean_sharpe,worst_drawdown,mean_brier
all_features,prior,12,0.005366423419232639,0.0,0.16666666666666666,0.14332969853164615,-0.10715402857526413,0.24990894198409272
incremental_through_base_features,prior,12,0.005366423419232639,0.0,0.16666666666666666,0.14332969853164615,-0.10715402857526413,0.24990894198409272
incremental_through_timesfm,prior,12,0.005366423419232639,0.0,0.16666666666666666,0.14332969853164615,-0.10715402857526413,0.24990894198409272
without_base_features,prior,12,0.005366423419232639,0.0,0.16666666666666666,0.14332969853164615,-0.10715402857526413,0.24990894198409272
without_chronos,prior,12,0.005366423419232639,0.0,0.16666666666666666,0.14332969853164615,-0.10715402857526413,0.24990894198409272
without_timesfm,prior,12,0.005366423419232639,0.0,0.16666666666666666,0.14332969853164615,-0.10715402857526413,0.24990894198409272
all_features,trend,12,0.0003561641154041136,-0.008306684917639973,0.3333333333333333,-0.1740007147837321,-0.05399131002562252,
incremental_through_base_features,trend,12,0.0003561641154041136,-0.008306684917639973,0.3333333333333333,-0.1740007147837321,-0.05399131002562252,
incremental_through_timesfm,trend,12,0.0003561641154041136,-0.008306684917639973,0.3333333333333333,-0.1740007147837321,-0.05399131002562252,
without_base_features,trend,12,0.0003561641154041136,-0.008306684917639973,0.3333333333333333,-0.1740007147837321,-0.05399131002562252,
without_chronos,trend,12,0.0003561641154041136,-0.008306684917639973,0.3333333333333333,-0.1740007147837321,-0.05399131002562252,
without_timesfm,trend,12,0.0003561641154041136,-0.008306684917639973,0.3333333333333333,-0.1740007147837321,-0.05399131002562252,
incremental_through_base_features,ridge_logistic,12,-0.015773770003635335,-0.003121837699119223,0.25,-0.2924248153644497,-0.10715402857526413,0.25051894307523476
without_base_features,lightgbm,12,-0.01953394390759829,-0.01995602023374693,0.16666666666666666,-3.3950374225626825,-0.15024060210002632,0.25037479920904543
without_base_features,ridge_logistic,12,-0.021622828673140342,-0.014786481363127546,0.16666666666666666,-2.267387078135439,-0.11165416686592278,0.2500097029878455
all_features,ridge_logistic,12,-0.022026931616199102,-0.00960619221326886,0.25,-1.2779696890937455,-0.1266945921999657,0.25047726605070975
without_base_features,catboost,12,-0.02387049887968053,-0.018129260583770124,0.16666666666666666,-3.404243024912206,-0.10411807001998807,0.25006608422132026
without_timesfm,catboost,12,-0.03221121321026101,-0.016555861070568334,0.0,-1.9994660680234377,-0.12253999268359872,0.2517804395250163
without_timesfm,lightgbm,12,-0.03341914321934445,-0.0016036568040164734,0.25,-1.7889811253258021,-0.11885821112534078,0.25303264483754917
incremental_through_timesfm,catboost,12,-0.035397741010095136,-0.025985762195284146,0.08333333333333333,-3.8582992641270724,-0.13029108647259913,0.251604548483726
without_chronos,catboost,12,-0.035397741010095136,-0.025985762195284146,0.08333333333333333,-3.8582992641270724,-0.13029108647259913,0.251604548483726
without_timesfm,ridge_logistic,12,-0.03669922241654113,-0.04120734982152935,0.16666666666666666,-3.54953658125102,-0.1224136606811198,0.25070714697297064
incremental_through_timesfm,ridge_logistic,12,-0.037118907963035165,-0.02439591467091179,0.08333333333333333,-3.043310786358528,-0.11859383293118864,0.2505513130631291
without_chronos,ridge_logistic,12,-0.037118907963035165,-0.02439591467091179,0.08333333333333333,-3.043310786358528,-0.11859383293118864,0.2505513130631291
incremental_through_base_features,catboost,12,-0.03883987707692594,-0.04043600100457695,0.08333333333333333,-3.3811601367633037,-0.10715402857526413,0.25160039893769365
all_features,catboost,12,-0.03974124475056796,-0.03965494520170054,0.08333333333333333,-3.495807429571695,-0.11037940577877925,0.25179153178519903
incremental_through_base_features,lightgbm,12,-0.039978409531564806,-0.024923186585266877,0.0,-3.3924278091591056,-0.16015549530686568,0.2524708833984232
all_features,lightgbm,12,-0.049022613624924154,-0.04920410198396641,0.08333333333333333,-3.4499214738852544,-0.15189447672522527,0.2552069854035766
incremental_through_timesfm,lightgbm,12,-0.05801875293225243,-0.07028366881963571,0.08333333333333333,-4.20664579727661,-0.1599131245590043,0.2528848042402693
without_chronos,lightgbm,12,-0.05801875293225243,-0.07028366881963571,0.08333333333333333,-4.20664579727661,-0.1599131245590043,0.2528848042402693
