scenario,model,fold,train_rows,calibration_rows,validation_rows,test_rows,accuracy,brier,log_loss,roc_auc,ece,realized_positive_rate,predicted_positive_rate,net_return,passive_return,passive_gross_return,annualized_volatility,sharpe,max_drawdown,turnover,trading_cost,average_exposure,entries,cost_multiplier,threshold,baseline_net_return,baseline_sharpe,baseline_max_drawdown,baseline_brier,baseline_log_loss,delta_net_return,delta_sharpe,delta_max_drawdown,delta_brier,delta_log_loss
naive,catboost,5.5,4480.0,359.0,360.0,360.0,0.5057870370370371,0.2523834279864136,0.698083240120282,0.5048410586394173,0.044165832680330926,0.5097222222222222,0.5091396591261612,-0.04919214894131333,0.0200544763164221,0.025166881342714154,0.07550707693883152,-3.918263142126726,-0.06172814567777236,18.287357200847634,0.04571839300211908,0.09893265377683853,26.166666666666668,1.0,0.5458333333333334,-0.0388398770769259,-3.381160136763304,-0.0623595993005111,0.2516003989376936,0.6964197961497945,-0.010352271864387433,-0.5371030053634218,0.0006314536227387396,0.0007830290487200187,0.0016634439704874548
naive,lightgbm,5.5,4480.0,359.0,360.0,360.0,0.5,0.25198635769613636,0.6971977930079505,0.49753469969921754,0.03426615748125332,0.5097222222222222,0.5151719311591653,-0.042292320844761117,0.0200544763164221,0.025166881342714154,0.04145181825760915,-3.5914141776302553,-0.04805849542668794,10.908333333333333,0.02727083333333333,0.07429398148148149,15.583333333333334,1.0,0.5875,-0.0399784095315648,-3.3924278091591056,-0.0463552572429351,0.2524708833984232,0.6981895853208546,-0.002313911313196318,-0.1989863684711497,-0.001703238183752842,-0.0004845257022868532,-0.0009917923129041384
naive,prior,5.5,4480.0,359.0,360.0,360.0,0.5101851851851852,0.24990894198409272,0.6929654401747042,0.5,0.013906943154854079,0.5097222222222222,0.5148560817084494,0.005366423419232639,0.0200544763164221,0.025166881342714154,0.06554009739931778,0.14332969853164615,-0.02875652357776375,0.2919223239548107,0.0007298058098870268,0.14579255001389213,0.4166666666666667,1.0,0.5875,0.0053664234192326,0.1433296985316461,-0.0287565235777637,0.2499089419840927,0.6929654401747042,3.903127820947816e-17,5.551115123125783e-17,-4.85722573273506e-17,2.7755575615628914e-17,0.0
naive,ridge_logistic,5.5,4480.0,359.0,360.0,360.0,0.5085648148148149,0.25050797009014725,0.6941738644173284,0.49985733911017577,0.02835188702388225,0.5097222222222222,0.5244571162054666,-0.017606135085418823,0.0200544763164221,0.025166881342714154,0.10497726832835468,-0.8760010377529248,-0.05367981344173661,11.568848943192096,0.02892212235798024,0.18682189865317977,16.583333333333332,1.0,0.5375,-0.0157737700036353,-0.2924248153644497,-0.0462727039604675,0.2505189430752346,0.6941931431331997,-0.0018323650817835234,-0.5835762223884751,-0.00740710948126911,-1.0972985087343012e-05,-1.927871587126262e-05
naive,trend,5.5,4480.0,359.0,360.0,360.0,,,,,,,,0.0003561641154041136,0.0200544763164221,0.025166881342714154,0.07121705822070278,-0.1740007147837321,-0.03095654163439887,1.7499999999999998,0.0043749999999999995,0.10532407407407407,2.5,1.0,,0.0003561641154041,-0.1740007147837321,-0.0309565416343988,,,1.360673726469308e-17,0.0,-6.938893903907228e-17,,
timesfm,catboost,5.5,4480.0,359.0,360.0,360.0,0.5085648148148149,0.251604548483726,0.6964142600846938,0.5055613025400223,0.04233612907939919,0.5097222222222222,0.5115411000448938,-0.035397741010095136,0.0200544763164221,0.025166881342714154,0.061673677268142414,-3.8582992641270724,-0.0458231289703259,15.559297567350136,0.03889824391837534,0.07764670420696844,22.25,1.0,0.5541666666666667,-0.0388398770769259,-3.381160136763304,-0.0623595993005111,0.2516003989376936,0.6964197961497945,0.0034421360668307616,-0.4771391273637682,0.016536470330185196,4.149546032394813e-06,-5.536065100786303e-06
timesfm,lightgbm,5.5,4480.0,359.0,360.0,360.0,0.5097222222222222,0.25407169854138845,0.7020839993416338,0.4964388566793696,0.04353237066871895,0.5097222222222222,0.5302234295487188,-0.04764205381886801,0.0200544763164221,0.025166881342714154,0.0908531220004385,-3.2644477093109914,-0.06486086545435572,17.0287896124024,0.042571974031005995,0.14820401934437935,24.333333333333332,1.0,0.5708333333333334,-0.0399784095315648,-3.3924278091591056,-0.0463552572429351,0.2524708833984232,0.6981895853208546,-0.007663644287303213,0.1279800998481142,-0.018505608211420624,0.0016008151429652284,0.003894414020779169
timesfm,prior,5.5,4480.0,359.0,360.0,360.0,0.5101851851851852,0.24990894198409272,0.6929654401747042,0.5,0.013906943154854079,0.5097222222222222,0.5148560817084494,0.005366423419232639,0.0200544763164221,0.025166881342714154,0.06554009739931778,0.14332969853164615,-0.02875652357776375,0.2919223239548107,0.0007298058098870268,0.14579255001389213,0.4166666666666667,1.0,0.5875,0.0053664234192326,0.1433296985316461,-0.0287565235777637,0.2499089419840927,0.6929654401747042,3.903127820947816e-17,5.551115123125783e-17,-4.85722573273506e-17,2.7755575615628914e-17,0.0
timesfm,ridge_logistic,5.5,4480.0,359.0,360.0,360.0,0.5106481481481482,0.25055131179159223,0.6942666009648661,0.5107128233514654,0.028526794267139874,0.5097222222222222,0.5253967071822928,-0.037118907963035165,0.0200544763164221,0.025166881342714154,0.08676752545812116,-3.043310786358528,-0.05927759059731074,14.219881436861163,0.035549703592152905,0.1419372256850356,20.333333333333332,1.0,0.5416666666666666,-0.0157737700036353,-0.2924248153644497,-0.0462727039604675,0.2505189430752346,0.6941931431331997,-0.021345137959399865,-2.7508859709940783,-0.013004886636843238,3.236871635764471e-05,7.345783166645692e-05
timesfm,trend,5.5,4480.0,359.0,360.0,360.0,,,,,,,,0.0003561641154041136,0.0200544763164221,0.025166881342714154,0.07121705822070278,-0.1740007147837321,-0.03095654163439887,1.7499999999999998,0.0043749999999999995,0.10532407407407407,2.5,1.0,,0.0003561641154041,-0.1740007147837321,-0.0309565416343988,,,1.360673726469308e-17,0.0,-6.938893903907228e-17,,
