scenario,fold,model,train_rows,calibration_rows,validation_rows,test_rows,accuracy,brier,log_loss,roc_auc,ece,realized_positive_rate,predicted_positive_rate,net_return,passive_return,passive_gross_return,annualized_volatility,sharpe,max_drawdown,turnover,trading_cost,average_exposure,entries,cost_multiplier,threshold
naive,0,trend,2500,359,360,360,,,,,,,,-0.02018400233570128,0.021292619376455768,0.02636637290102506,0.07600478837973888,-1.5939797292493414,-0.04770189681477932,2.0999999999999996,0.0052499999999999995,0.09625,3.0,1.0,
naive,0,prior,2500,359,360,360,0.5388888888888889,0.24871905952864357,0.6905838019092465,0.5,0.01521200866604766,0.5388888888888889,0.5236768802228412,0.0,0.021292619376455768,0.02636637290102506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.65
naive,0,ridge_logistic,2500,359,360,360,0.5388888888888889,0.24844034802603507,0.6900098601403022,0.5124829213762265,0.020564909853515903,0.5388888888888889,0.5551879405871393,-0.0451321520461897,0.021292619376455768,0.02636637290102506,0.16426169880538075,-1.6280934822707853,-0.08177976504657192,38.20791069922588,0.09551977674806467,0.22730412511587467,55.0,1.0,0.55
naive,0,lightgbm,2500,359,360,360,0.5388888888888889,0.24843846842135875,0.6900207226665831,0.5287852440690597,0.01261948610032082,0.5388888888888889,0.526269402788568,0.0,0.021292619376455768,0.02636637290102506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.65
naive,0,catboost,2500,359,360,360,0.5444444444444444,0.2476682379642915,0.6884753929202517,0.5410197490994908,0.009840993363783763,0.5388888888888889,0.5344983066348638,-0.08801750470979319,0.021292619376455768,0.02636637290102506,0.07231448503303806,-7.713406916655413,-0.08801750470979319,28.359411108266688,0.07089852777066671,0.0471180162942544,41.0,1.0,0.55
naive,1,trend,2860,359,360,360,,,,,,,,0.030615570217227717,0.19897440625922647,0.20501766784452347,0.0849959382948778,2.2008779686105413,-0.022236932562325507,2.0999999999999996,0.0052499999999999995,0.1701388888888889,3.0,1.0,
naive,1,prior,2860,359,360,360,0.5166666666666667,0.24972429346968647,0.6925956697291985,0.5,0.0014391829155060432,0.5166666666666667,0.5181058495821728,0.0,0.19897440625922647,0.20501766784452347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.65
naive,1,ridge_logistic,2860,359,360,360,0.5166666666666667,0.24989415673992282,0.69293583868474,0.5205475219379557,0.019154931736373504,0.5166666666666667,0.5358215984030402,-0.014128775072836275,0.19897440625922647,0.20501766784452347,0.04004145252405826,-2.141768238330418,-0.022276451239660267,9.099999999999998,0.02275,0.015555555555555555,13.0,1.0,0.55
naive,1,lightgbm,2860,359,360,360,0.49722222222222223,0.2504704601386416,0.6940858858492824,0.4879186750710667,0.0253755473877224,0.5166666666666667,0.518971452789449,-0.044297322326230404,0.19897440625922647,0.20501766784452347,0.036385173299559745,-7.556552123880019,-0.04495551376520868,16.799999999999997,0.041999999999999996,0.03013888888888888,24.0,1.0,0.55
naive,1,catboost,2860,359,360,360,0.4861111111111111,0.2509112939455617,0.6949748540258119,0.46727845754542086,0.03611964746882298,0.5166666666666667,0.5202156473868657,-0.025113775323350684,0.19897440625922647,0.20501766784452347,0.027647299012166764,-5.582428722088802,-0.025113775323350684,10.499999999999998,0.026249999999999996,0.02333333333333333,15.0,1.0,0.55
naive,2,trend,3220,359,360,360,,,,,,,,0.054930426874193916,0.4320599426851741,0.43921177643539866,0.13510176862268614,2.4754855182876745,-0.05399131002562252,2.0999999999999996,0.0052499999999999995,0.16138888888888892,3.0,1.0,
naive,2,prior,3220,359,360,360,0.5388888888888889,0.24853465168988792,0.6902138728716477,0.5,0.00685546270504489,0.5388888888888889,0.532033426183844,0.14090223854827455,0.4320599426851741,0.43921177643539866,0.20054551584093241,4.099385875799123,-0.049795056841904106,0.7,0.0017499999999999998,0.35000000000000003,1.0,1.0,0.5
naive,2,ridge_logistic,3220,359,360,360,0.5444444444444444,0.24908641873174245,0.6913298463022853,0.5293131288038754,0.025994716531721272,0.5388888888888889,0.5128941723571676,0.0020405201236548542,0.4320599426851741,0.43921177643539866,0.18322278725958016,0.15908571466688234,-0.09459505319030215,36.4,0.091,0.24500000000000005,52.0,1.0,0.5
naive,2,lightgbm,3220,359,360,360,0.4666666666666667,0.2606657726912575,0.7148093878600602,0.4840392497826357,0.0943732697817169,0.5388888888888889,0.4445156191071719,0.0,0.4320599426851741,0.43921177643539866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6
naive,2,catboost,3220,359,360,360,0.49722222222222223,0.2508496411692488,0.69486208712949,0.5193764749720532,0.04929596725129339,0.5388888888888889,0.4895929216375955,-0.08120896143480649,0.4320599426851741,0.43921177643539866,0.13781813575118593,-3.6691662903089846,-0.0968589279599057,41.3,0.10324999999999998,0.11569444444444442,59.0,1.0,0.5
naive,3,trend,3580,359,360,360,,,,,,,,-0.0153270104687806,-0.11991136821814041,-0.1154849225753869,0.10567858201566041,-0.8363019638733967,-0.030417354007000297,1.4,0.0034999999999999996,0.07583333333333334,2.0,1.0,
naive,3,prior,3580,359,360,360,0.5166666666666667,0.24972429346968647,0.6925956697291985,0.5,0.0014391829155060432,0.5166666666666667,0.5181058495821728,-0.03754066677043466,-0.11991136821814041,-0.1154849225753869,0.20953184899432303,-1.0061816803720756,-0.10060223462646267,0.7030678874577291,0.0017576697186443228,0.3495106001667053,1.0,1.0,0.5
naive,3,ridge_logistic,3580,359,360,360,0.5166666666666667,0.25012873252546214,0.6934056643344684,0.47698059572364354,0.0014708759655165655,0.5166666666666667,0.51519579070115,-0.04153153960564682,-0.11991136821814041,-0.1154849225753869,0.209406878025466,-1.127603295979187,-0.10060223462646278,2.103067887457729,0.005257669718644322,0.3475661557222609,3.0,1.0,0.5
naive,3,lightgbm,3580,359,360,360,0.5194444444444445,0.2506845389385581,0.694528274006115,0.48887652947719684,0.017902429698757705,0.5166666666666667,0.5345690963654245,-0.10657553053125524,-0.11991136821814041,-0.1154849225753869,0.07128639050382875,-9.579609571579864,-0.11195629776428717,24.5,0.06124999999999999,0.044722222222222205,35.0,1.0,0.55
naive,3,catboost,3580,359,360,360,0.5,0.2509004841625596,0.6949503183957325,0.4935731059201582,0.020497352822248308,0.5166666666666667,0.49616931384441837,-0.03864574845375068,-0.11991136821814041,-0.1154849225753869,0.14265390425682398,-1.6096773194481793,-0.09482623047609107,46.88887530190493,0.1172221882547623,0.13382382902780796,67.0,1.0,0.5
naive,4,trend,3940,359,360,360,,,,,,,,0.01642319219199795,0.09746938674218608,0.1029554040357501,0.062040376113470644,1.6283159652843764,-0.016761895094546952,1.4,0.0034999999999999996,0.09722222222222222,2.0,1.0,
naive,4,prior,3940,359,360,360,0.5083333333333333,0.2509581836474474,0.6950712996299684,0.5,0.03205663881151344,0.5083333333333333,0.5403899721448467,0.0,0.09746938674218608,0.1029554040357501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.65
naive,4,ridge_logistic,3940,359,360,360,0.5083333333333333,0.25085129967477904,0.6948563230067342,0.5078879935784631,0.03179239621030583,0.5083333333333333,0.5401257295436391,0.00649784333016501,0.09746938674218608,0.1029554040357501,0.07759244362288094,0.5463749144558459,-0.03009183160258111,6.815208731621568,0.017038021829053923,0.01615916966668796,10.0,1.0,0.55
naive,4,lightgbm,3940,359,360,360,0.5083333333333333,0.2509825676383149,0.6951203696320977,0.47170510326942666,0.03168111789055428,0.5083333333333333,0.5400144512238876,0.0,0.09746938674218608,0.1029554040357501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.65
naive,4,catboost,3940,359,360,360,0.5083333333333333,0.25105704540687473,0.6952702087072447,0.4724460498286561,0.03133918598471286,0.5083333333333333,0.5396725193180462,0.0,0.09746938674218608,0.1029554040357501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.65
naive,5,trend,4300,359,360,360,,,,,,,,-0.014890942719629319,0.12919564985141774,0.13486419598383326,0.073983992780204,-1.196630695353098,-0.04241902951871057,4.199999999999999,0.010499999999999999,0.12930555555555553,6.0,1.0,
naive,5,prior,4300,359,360,360,0.5,0.25032782178909224,0.6938032543827889,0.5,0.01810584958217276,0.5,0.5181058495821728,0.0458479316853877,0.12919564985141774,0.13486419598383326,0.1226419004238082,2.2850376092416838,-0.04067814886263499,0.7,0.0017499999999999998,0.35000000000000003,1.0,1.0,0.5
naive,5,ridge_logistic,4300,359,360,360,0.5,0.2510968318803506,0.6953455604603159,0.4753703703703704,0.02625666284789474,0.5,0.5262566628478947,0.0458479316853877,0.12919564985141774,0.13486419598383326,0.1226419004238082,2.2850376092416838,-0.04067814886263499,0.7,0.0017499999999999998,0.35000000000000003,1.0,1.0,0.5
naive,5,lightgbm,4300,359,360,360,0.5083333333333333,0.2538479250597511,0.7009627435658297,0.49342592592592593,0.04685789162597216,0.5,0.5401818148603076,0.0,0.12919564985141774,0.13486419598383326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.65
naive,5,catboost,4300,359,360,360,0.5027777777777778,0.25252196438987845,0.6982447738986135,0.5068827160493827,0.055131597529048205,0.5,0.5464786316481921,-0.09347827586878577,0.12919564985141774,0.13486419598383326,0.09401309516946146,-6.302501620519666,-0.10975734163332351,40.6,0.10149999999999998,0.1788888888888889,58.0,1.0,0.55
naive,6,trend,4660,359,360,360,,,,,,,,0.015822222828485888,-0.01436838502627591,-0.00942233018642158,0.06867973393279232,1.4248408482712733,-0.025977640444811434,1.4,0.0034999999999999996,0.11861111111111113,2.0,1.0,
naive,6,prior,4660,359,360,360,0.5166666666666667,0.24977007213372543,0.6926872785851047,0.5,0.006917363045496727,0.5166666666666667,0.50974930362117,-0.0032073136080329467,-0.01436838502627591,-0.00942233018642158,0.11024512917798053,-0.12216101341987294,-0.04684881402689911,0.7,0.0017499999999999998,0.35000000000000003,1.0,1.0,0.5
naive,6,ridge_logistic,4660,359,360,360,0.5166666666666667,0.24973096087205973,0.6926090301175124,0.5374799159560005,0.007554204594409586,0.5166666666666667,0.5091124620722571,-0.0032073136080329467,-0.01436838502627591,-0.00942233018642158,0.11024512917798053,-0.12216101341987294,-0.04684881402689911,0.7,0.0017499999999999998,0.35000000000000003,1.0,1.0,0.5
naive,6,lightgbm,4660,359,360,360,0.5166666666666667,0.24975271118094303,0.6926525421027324,0.5269126189593376,0.0069659342533050506,0.5166666666666667,0.5097007324133617,-0.0032073136080329467,-0.01436838502627591,-0.00942233018642158,0.11024512917798053,-0.12216101341987294,-0.04684881402689911,0.7,0.0017499999999999998,0.35000000000000003,1.0,1.0,0.5
naive,6,catboost,4660,359,360,360,0.525,0.26186060333496036,0.7184217218370563,0.5148930910888642,0.0985239770246336,0.5166666666666667,0.41814268964203305,-0.001603878351839838,-0.01436838502627591,-0.00942233018642158,0.004729425076960451,-2.062312425119408,-0.0026208045255111667,2.0999999999999996,0.0052499999999999995,0.0029166666666666664,3.0,1.0,0.55
naive,7,trend,5020,359,360,360,,,,,,,,-0.025406246868804216,0.009477376957548467,0.014481579876272521,0.06279977130808452,-2.4613516670523152,-0.042271215628265635,2.0999999999999996,0.0052499999999999995,0.1370833333333333,3.0,1.0,
naive,7,prior,5020,359,360,360,0.5111111111111111,0.24997098960367406,0.6930891596222466,0.5,0.009718353450944128,0.4888888888888889,0.498607242339833,0.0,0.009477376957548467,0.014481579876272521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.65
naive,7,ridge_logistic,5020,359,360,360,0.525,0.25011022959358264,0.6933679777127638,0.5263401679841897,0.020555295462950277,0.4888888888888889,0.5036468171874716,-0.03372332916766008,0.009477376957548467,0.014481579876272521,0.1199895769147747,-1.67912179471902,-0.057870594178758394,23.799999999999997,0.0595,0.2809722222222223,34.0,1.0,0.5
naive,7,lightgbm,5020,359,360,360,0.4638888888888889,0.2505536988221239,0.6942546083108911,0.4756052371541502,0.04512190580148043,0.4888888888888889,0.4958432963168934,-0.09887204116988546,0.009477376957548467,0.014481579876272521,0.057334903517531906,-11.015746588587891,-0.10335752594820735,37.8,0.0945,0.11569444444444446,54.0,1.0,0.5
naive,7,catboost,5020,359,360,360,0.49444444444444446,0.2553344592086209,0.7039979237202237,0.46788537549407117,0.0479398193374653,0.4888888888888889,0.4791339474638014,-0.04218209963437858,0.009477376957548467,0.014481579876272521,0.03864004493288429,-6.7653487117204545,-0.04937214826916092,14.7,0.03675,0.025277777777777777,21.0,1.0,0.55
naive,8,trend,5380,359,360,360,,,,,,,,0.0,-0.20514042238699215,-0.2011573713752033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
naive,8,prior,5380,359,360,360,0.5055555555555555,0.2500644867056518,0.6932762678648308,0.5,0.009764778706283117,0.5055555555555555,0.5153203342618387,0.0,-0.20514042238699215,-0.2011573713752033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.65
