model,regime,observations,compounded_return,mean_return,annualized_sharpe,positive_return_ratio
catboost,high_vol_down,103,0.023561523224002956,0.0002349199930873393,2.60554630891573,0.2912621359223301
catboost,high_vol_up,2,0.0,0.0,0.0,0.0
catboost,low_vol_down,1146,-0.22851962346553711,-0.00022441554852455252,-5.3209939740955425,0.18760907504363003
catboost,low_vol_up,1603,-0.18132803689389665,-0.00012338519053431982,-3.427693488616089,0.1503431066749844
catboost,mid_vol_down,986,0.022197441983643706,2.691262868939118e-05,0.4128212982218629,0.19776876267748478
catboost,mid_vol_up,480,-0.06538593326153719,-0.0001385497147533817,-3.006643603266354,0.15416666666666667
lightgbm,high_vol_down,103,0.01439477942389833,0.00013923705231393106,6.68571035747117,0.02912621359223301
lightgbm,high_vol_up,2,0.0,0.0,0.0,0.0
lightgbm,low_vol_down,1146,-0.18724206404665167,-0.00017908292771019903,-4.406512610359028,0.17888307155322863
lightgbm,low_vol_up,1603,-0.13607568959324956,-9.046640317654251e-05,-3.3963011031295673,0.1091703056768559
lightgbm,mid_vol_down,986,-0.12734223476013873,-0.00013633944334069046,-3.365031307099635,0.140973630831643
lightgbm,mid_vol_up,480,-0.02809542296235512,-5.908338940681922e-05,-3.6630316576881663,0.027083333333333334
prior,high_vol_down,103,-0.028572404853386524,-0.0002765133378459495,-4.114986070348218,0.038834951456310676
prior,high_vol_up,2,0.0004964226185177889,0.00024838488015245,12.854559711380643,0.5
prior,low_vol_down,1146,-0.13433636737053534,-0.00012399066481397943,-2.992616132394237,0.22338568935427575
prior,low_vol_up,1603,0.08227276954847595,5.1437160932981706e-05,1.1693958209523152,0.22769806612601373
prior,mid_vol_down,986,0.08191468878523822,8.23512464836319e-05,1.7216021490036502,0.1460446247464503
prior,mid_vol_up,480,0.06715810391360821,0.0001402925227046721,2.1003654443275233,0.29791666666666666
ridge_logistic,high_vol_down,103,-0.00565764241134703,-4.8396059195876745e-05,-0.6156079763023957,0.10679611650485436
ridge_logistic,high_vol_up,2,0.0004964226185177889,0.00024838488015245,12.854559711380643,0.5
ridge_logistic,low_vol_down,1146,-0.17519163294678775,-0.00016527740011497744,-3.2853479125203413,0.2844677137870855
ridge_logistic,low_vol_up,1603,-0.08198470303296301,-5.173174225697612e-05,-1.3398774600900367,0.17592014971927636
ridge_logistic,mid_vol_down,986,0.09260734659835168,9.417113500776558e-05,1.4933562859357479,0.2647058823529412
ridge_logistic,mid_vol_up,480,-0.0022044109404336654,-2.201425273732658e-07,-0.003476007269919587,0.24375
